cursoId,paisCodigo,fechaInicio,fechaFin
C001,COL,2022-03-13,2024-03-08
C002,USA,2020-02-27,2021-10-27
C003,MEX,2020-06-19,2020-10-16
C004,ARG,2024-04-02,2024-08-28
C005,BRA,2023-07-03,2024-05-04
C006,CHL,2020-09-14,2021-01-12
C007,PER,2024-02-08,2026-01-13
C008,ECU,2024-01-19,2025-11-08
C009,URY,2023-01-08,2023-04-25
C010,PRY,2024-03-10,2025-07-12
C011,ESP,2021-09-04,2023-06-10
C012,FRA,2022-09-27,2024-10-24
C013,DEU,2021-02-19,2022-11-25
C014,GBR,2021-06-04,2023-02-14
C015,CAN,2020-10-02,2022-08-26
C016,AUS,2021-08-22,2023-04-18
C017,JPN,2023-06-15,2025-04-04
C018,KOR,2023-06-10,2024-04-19
C019,CHN,2021-12-25,2022-10-30
C020,IND,2020-10-10,2022-05-30
